229 -  02-03-12-28-42
230 -  02-03-12-29-31
231 -  02-03-12-29-34
232 -  02-03-12-29-40
233 -  02-03-12-29-41
234 -  02-03-12-29-42
235 -  02-03-12-31-34
236 -  02-03-12-31-40
237 -  02-03-12-31-41
238 -  02-03-12-31-42
239 -  02-03-12-34-40
240 -  02-03-12-34-41
241 -  02-03-12-34-42
242 -  02-03-12-40-41
243 -  02-03-12-40-42
244 -  02-03-12-41-42
245 -  02-03-16-20-27
246 -  02-03-16-20-28
247 -  02-03-16-20-29
248 -  02-03-16-20-31
249 -  02-03-16-20-34
250 -  02-03-16-20-40
251 -  02-03-16-20-41
252 -  02-03-16-20-42
253 -  02-03-16-27-28
254 -  02-03-16-27-29
255 -  02-03-16-27-31
256 -  02-03-16-27-34
257 -  02-03-16-27-40
258 -  02-03-16-27-41
259 -  02-03-16-27-42
260 -  02-03-16-28-29
261 -  02-03-16-28-31
262 -  02-03-16-28-34
263 -  02-03-16-28-40
264 -  02-03-16-28-41
265 -  02-03-16-28-42
266 -  02-03-16-29-31
267 -  02-03-16-29-34
268 -  02-03-16-29-40
269 -  02-03-16-29-41
270 -  02-03-16-29-42
271 -  02-03-16-31-34
272 -  02-03-16-31-40
273 -  02-03-16-31-41
274 -  02-03-16-31-42
275 -  02-03-16-34-40
276 -  02-03-16-34-41
277 -  02-03-16-34-42
278 -  02-03-16-40-41
279 -  02-03-16-40-42
280 -  02-03-16-41-42
281 -  02-03-20-27-28
282 -  02-03-20-27-29
283 -  02-03-20-27-31
284 -  02-03-20-27-34
285 -  02-03-20-27-40
286 -  02-03-20-27-41
287 -  02-03-20-27-42
288 -  02-03-20-28-29
289 -  02-03-20-28-31
290 -  02-03-20-28-34
291 -  02-03-20-28-40
292 -  02-03-20-28-41
293 -  02-03-20-28-42
294 -  02-03-20-29-31
295 -  02-03-20-29-34
296 -  02-03-20-29-40
297 -  02-03-20-29-41
298 -  02-03-20-29-42
299 -  02-03-20-31-34
300 -  02-03-20-31-40
301 -  02-03-20-31-41
302 -  02-03-20-31-42
303 -  02-03-20-34-40
304 -  02-03-20-34-41
305 -  02-03-20-34-42
306 -  02-03-20-40-41
307 -  02-03-20-40-42
308 -  02-03-20-41-42
309 -  02-03-27-28-29
310 -  02-03-27-28-31
311 -  02-03-27-28-34
312 -  02-03-27-28-40
313 -  02-03-27-28-41
314 -  02-03-27-28-42
315 -  02-03-27-29-31
316 -  02-03-27-29-34
317 -  02-03-27-29-40
318 -  02-03-27-29-41
319 -  02-03-27-29-42
320 -  02-03-27-31-34
321 -  02-03-27-31-40
322 -  02-03-27-31-41
323 -  02-03-27-31-42
324 -  02-03-27-34-40
325 -  02-03-27-34-41
326 -  02-03-27-34-42
327 -  02-03-27-40-41
328 -  02-03-27-40-42
329 -  02-03-27-41-42
330 -  02-03-28-29-31
331 -  02-03-28-29-34
332 -  02-03-28-29-40
333 -  02-03-28-29-41
334 -  02-03-28-29-42
335 -  02-03-28-31-34
336 -  02-03-28-31-40
337 -  02-03-28-31-41
338 -  02-03-28-31-42
339 -  02-03-28-34-40
340 -  02-03-28-34-41
341 -  02-03-28-34-42
342 -  02-03-28-40-41
343 -  02-03-28-40-42
344 -  02-03-28-41-42
345 -  02-03-29-31-34
346 -  02-03-29-31-40
347 -  02-03-29-31-41
348 -  02-03-29-31-42
349 -  02-03-29-34-40
350 -  02-03-29-34-41
351 -  02-03-29-34-42
352 -  02-03-29-40-41
353 -  02-03-29-40-42
354 -  02-03-29-41-42
355 -  02-03-31-34-40
356 -  02-03-31-34-41
357 -  02-03-31-34-42
358 -  02-03-31-40-41
359 -  02-03-31-40-42
360 -  02-03-31-41-42
361 -  02-03-34-40-41
362 -  02-03-34-40-42
363 -  02-03-34-41-42
364 -  02-03-40-41-42
365 -  02-08-09-10-12
366 -  02-08-09-10-16
367 -  02-08-09-10-20
368 -  02-08-09-10-27
369 -  02-08-09-10-28
370 -  02-08-09-10-29
371 -  02-08-09-10-31
372 -  02-08-09-10-34
373 -  02-08-09-10-40
374 -  02-08-09-10-41
375 -  02-08-09-10-42
376 -  02-08-09-12-16
377 -  02-08-09-12-20
378 -  02-08-09-12-27
379 -  02-08-09-12-28
380 -  02-08-09-12-29
381 -  02-08-09-12-31
382 -  02-08-09-12-34
383 -  02-08-09-12-40
384 -  02-08-09-12-41
385 -  02-08-09-12-42
386 -  02-08-09-16-20
387 -  02-08-09-16-27
388 -  02-08-09-16-28
389 -  02-08-09-16-29
390 -  02-08-09-16-31
391 -  02-08-09-16-34
392 -  02-08-09-16-40
393 -  02-08-09-16-41
394 -  02-08-09-16-42
395 -  02-08-09-20-27
396 -  02-08-09-20-28
397 -  02-08-09-20-29
398 -  02-08-09-20-31
399 -  02-08-09-20-34
400 -  02-08-09-20-40
401 -  02-08-09-20-41
402 -  02-08-09-20-42
403 -  02-08-09-27-28
404 -  02-08-09-27-29
405 -  02-08-09-27-31
406 -  02-08-09-27-34
407 -  02-08-09-27-40
408 -  02-08-09-27-41
409 -  02-08-09-27-42
410 -  02-08-09-28-29
411 -  02-08-09-28-31
412 -  02-08-09-28-34
413 -  02-08-09-28-40
414 -  02-08-09-28-41
415 -  02-08-09-28-42
416 -  02-08-09-29-31
417 -  02-08-09-29-34
418 -  02-08-09-29-40
419 -  02-08-09-29-41
420 -  02-08-09-29-42
421 -  02-08-09-31-34
422 -  02-08-09-31-40
423 -  02-08-09-31-41
424 -  02-08-09-31-42
425 -  02-08-09-34-40
426 -  02-08-09-34-41
427 -  02-08-09-34-42
428 -  02-08-09-40-41
429 -  02-08-09-40-42
430 -  02-08-09-41-42
431 -  02-08-10-12-16
432 -  02-08-10-12-20
433 -  02-08-10-12-27
434 -  02-08-10-12-28
435 -  02-08-10-12-29
436 -  02-08-10-12-31
437 -  02-08-10-12-34
438 -  02-08-10-12-40
439 -  02-08-10-12-41
440 -  02-08-10-12-42
441 -  02-08-10-16-20
442 -  02-08-10-16-27
443 -  02-08-10-16-28
444 -  02-08-10-16-29
445 -  02-08-10-16-31
446 -  02-08-10-16-34
447 -  02-08-10-16-40
448 -  02-08-10-16-41
449 -  02-08-10-16-42
450 -  02-08-10-20-27
451 -  02-08-10-20-28
452 -  02-08-10-20-29
453 -  02-08-10-20-31
454 -  02-08-10-20-34
455 -  02-08-10-20-40
456 -  02-08-10-20-41
457 -  02-08-10-20-42
458 -  02-08-10-27-28
459 -  02-08-10-27-29
460 -  02-08-10-27-31
461 -  02-08-10-27-34
462 -  02-08-10-27-40
463 -  02-08-10-27-41
464 -  02-08-10-27-42
465 -  02-08-10-28-29
466 -  02-08-10-28-31
467 -  02-08-10-28-34
468 -  02-08-10-28-40
469 -  02-08-10-28-41
470 -  02-08-10-28-42
471 -  02-08-10-29-31
472 -  02-08-10-29-34
473 -  02-08-10-29-40
474 -  02-08-10-29-41
475 -  02-08-10-29-42
476 -  02-08-10-31-34
477 -  02-08-10-31-40
478 -  02-08-10-31-41
479 -  02-08-10-31-42
480 -  02-08-10-34-40
481 -  02-08-10-34-41
482 -  02-08-10-34-42
483 -  02-08-10-40-41
484 -  02-08-10-40-42
485 -  02-08-10-41-42
486 -  02-08-12-16-20
487 -  02-08-12-16-27
488 -  02-08-12-16-28
489 -  02-08-12-16-29
490 -  02-08-12-16-31
491 -  02-08-12-16-34
492 -  02-08-12-16-40
493 -  02-08-12-16-41
494 -  02-08-12-16-42
495 -  02-08-12-20-27
496 -  02-08-12-20-28
497 -  02-08-12-20-29
498 -  02-08-12-20-31
499 -  02-08-12-20-34
500 -  02-08-12-20-40
501 -  02-08-12-20-41
502 -  02-08-12-20-42
503 -  02-08-12-27-28
504 -  02-08-12-27-29
505 -  02-08-12-27-31
506 -  02-08-12-27-34
507 -  02-08-12-27-40
508 -  02-08-12-27-41
509 -  02-08-12-27-42
510 -  02-08-12-28-29
511 -  02-08-12-28-31
512 -  02-08-12-28-34
513 -  02-08-12-28-40
514 -  02-08-12-28-41
515 -  02-08-12-28-42
516 -  02-08-12-29-31
517 -  02-08-12-29-34
518 -  02-08-12-29-40
519 -  02-08-12-29-41
520 -  02-08-12-29-42
521 -  02-08-12-31-34
522 -  02-08-12-31-40
523 -  02-08-12-31-41
524 -  02-08-12-31-42
525 -  02-08-12-34-40
526 -  02-08-12-34-41
527 -  02-08-12-34-42
528 -  02-08-12-40-41
